combination,result
+0,"Реакция отхода от контактов с окружающими в связи с блокированностью насущных потребностей. Чувство усталости, ограничение сферы общения, снижение социальной активности. Необходим покой, отдых, сочувствие и понимание."
+0+1,"Потребность в покое, избегании конфликтов, установка на избегание конфликтов, сниженный фон настроения, стремление к расслаблению и отдыху. Трудности общения. Чувство непонятости и одиночества."
+0+2,"Реакция отхода от контактов в связи с тем, что отношения не складываются. Необходимо разрешение конфликтной ситуации и возможность сохранить свой социальный статус и уважение окружающих. Нуждается в стабильной обстановке, в таком виде деятельности, где нужна вдумчивость, точность и аккуратность. Ситуация вызывает недоверчивость, сопротивление внешним воздействиям, стремление оградить себя от внешнего давления и при этом сохранить свою позицию и престиж. Трезвая, рассудочная оценка ситуации. Упрямство."
+0+3,"Отход от активной деятельности и широкого круга контактов в связи с переутомлением и выраженными трудностями. Внутренняя напряженность и конфликт разнонаправленных тенденций. Мотивация достижения успеха и тенденция к независимой самореализации сталкивается с повышенным чувством усталости и ощущением непреодолимых трудностей. Напористость и самобытность, обычно способствующие достижению целей, блокированы временным снижением активности, что может быть связано с неблагоприятно сложившимися обстоятельствами или усталостью."
+0+4,"Реакция отхода от активной деятельности и широкого круга контактов в связи с переутомлением и неблагоприятной ситуацией. Потребность в эмоциональной вовлеченности и чувстве причастности к интересам референтной группы не реализуется в полной мере, что усиливает черты эмоциональной лабильности. Необходимость повышения самоконтроля создает некоторую напряженность, ощущается как тяжкое бремя, так как приходится брать на себя большую, чем этого хотелось бы, ответственность. Не реализуется в полной мере потребность в привлечении внимания окружающих к своей персоне."
+0+5,"Интровертная реакция, вызванная трудностями адаптации в социальной среде. Потребность избегания контактов широкого круга, уход в мир субъективных представлений, фантазий, мечты. Пассивно-созерцательная позиция, сензитивность, тонко нюансированная чувствительность, ирреальность притязаний и субъективизм в оценке жизненных явлений, тенденция к идеализации окружающей действительности, черты эмоциональной незрелости. Индивидуалистич-ность в сочетании с повышенной ранимостью, выраженная избирательность в контактах. Эстетическая ориентированность, своеобразие пристрастий."
+0+6,"Реакция отхода от контактов, напряженность, усталость, блокированность физиологических потребностей, плохое самочувствие, утрата привычного жизненного стереотипа, мнительность, болезненная сосредоточенность на плохом самочувствии. Пассивность, сочетающаяся с беспокойством, ощущение непреодолимых трудностей, потребность в избавлении от их гнета, тревожное состояние, отсутствие возможности самореализации, сниженный фон настроения. Потребность в помощи и отдыхе."
+0+7,"Сочетание усталости и пассивности с выраженным чувством внутреннего протеста против сложившихся обстоятельств (судьбы), неприятие ситуации, задевающей самолюбие и блокирующей насущные потребности личности. Потребность в освобождении от гнетущих обстоятельств, несправедливости. Наряду со сниженным фоном настроения и активности — эмоции гнева."
+1,"Потребность в прочной и глубокой привязанности, эмоциональном комфорте и защите от внешних воздействий. Дружелюбие, конформность установок. Потребность в понимании, любви и поддержке является ведущей и поэтому наиболее легко травмируемой мишенью. Замкнутость, избирательность в контактах, аналитический склад ума, вдумчивый подход к решению проблем, инертность в принятии решений. Тормозимые черты, преобладание стремления к покою, уединенности, всплески активности быстро сменяются фазой пассивности."
+1+0,"Потребность в прочной и глубокой привязанности, эмоциональном комфорте и защите от внешних воздействий. Дружелюбие, конформность установок. Потребность в понимании, любви и поддержке является ведущей и поэтому наиболее легко травмируемой мишенью. Замкнутость, избирательность в контактах, аналитический склад ума, вдумчивый подход к решению проблем, инертность в принятии решений. Тормозимые черты, преобладание стремления к покою, уединенности, всплески активности быстро сменяются фазой пассивности. Вышеописанные тенденции служат инструментом достижения покоя и избавления от стресса. Выраженная склонность к ограничению контактов, расслаблению, избеганию конфликтов."
+1+2,"Потребность в прочной и глубокой привязанности, эмоциональном комфорте и защите от внешних воздействий. Дружелюбие, конформность установок. Потребность в понимании, любви и поддержке является ведущей и поэтому наиболее легко травмируемой мишенью. Замкнутость, избирательность в контактах, аналитический склад ума, вдумчивый подход к решению проблем, инертность в принятии решений. Тормозимые черты, преобладание стремления к покою, уединенности, всплески активности быстро сменяются фазой пассивности. Вышеописанные тенденции служат инструментом для достижения нормальных условий работы и взаимодействия с окружающими на основании вдумчивого, рассудительного, трезвого подхода при решении проблем. Потребность в оберегании от посягательств своей социальной позиции, повышенное чувство собственного достоинства, потребность как в самоуважении, так и сохранении личностного реноме в глазах значимых окружающих. Склонность к системному мышлению, тяга к точным сферам знаний. Деликатность в сфере межличностных контактов сочетается с упрямством в отстаивании своей позиции. Мотивация избегания неуспеха при достаточно ригидных (негибких) установках и упорстве в своих начинаниях. Черты повышенной аккуратности и внимания к деталям."
+1+3,"Конфликтное сочетание разнонаправленных тенденций — высокой мотивации избегания неуспеха и мотивации достижения. Выраженная склонность к непосредственной самореализации сталкивается со столь же высокой тенденцией к избеганию конфликтов, повышенным контролем над своими чувствами и поведением. Уравновешивая друг друга, эти тенденции создают внешне гармоничный поведенческий рисунок, чреватый физиологическими расстройствами. Эротичность в сфере влечения к противоположному полу сочетается с эмпатийностью (умением сопереживать), что может служить основой для гармоничных отношений."
+1+4,"Смешанный, эмоционально неустойчивый рисунок индивидуально-личностных свойств, выявляющий высокую подверженность внешним (средовым) воздействиям. Ранимость, чувствительность, зависимость от значимых других, повышенный самоконтроль и конформность установок сочетаются с тенденцией к легкой смене настроения и устремлений, вживаемостью в разные социальные роли. Склонность к экзальтации, потребность нравиться окружающим. Энтузиазм и стремление к сопричастности интересам референтной группы легко сменяются тенденцией уйти от излишней ответственности, участие и сопереживание более значимы, чем конкретные цели. В работе значение придается больше самому процессу, как удовлетворяющему ведущим тенденциям, чем ее окончательному результату. Большое значение придается произведенному впечатлению и дружелюбным отношениям с окружающими."
+1+5,"Пассивно-созерцательная позиция, высокая чувствительность к внешним воздействиям, тонкая нюансированность чувств во взаимоотношениях с окружающими и в оценке явлений жизни. Незрелость позиции, ранимость, трудности адаптации, избегание пут жестко ограниченных рамок деятельности. Мечтательность и поэтичность натуры, сентиментальность, эстетическая ориентированность. Нешаблонность мышления, стремление к своеобразным видам занятий и увлечений. Минорный фон настроения."
